Country,Code for Song,Song,,,,
United States,1,positions (Ariana Grande),,,,
United Kingdom,1,positions (Ariana Grande),,,,
Andorra,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
United Arab Emirates,3,Life Goes On (BTS),,,,
Argentina,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Austria,4,Mood ft. iann dior (24kGoldn),,,,
Australia,1,positions (Ariana Grande),,,,
Belgium,5,"Fever (Dua Lipa, Angèle)",,,,
Bulgaria,1,positions (Ariana Grande),,,,
Bolivia,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Brazil,6,Recairei - Ao Vivo (Os Barões Da Pisadinha),,,,
Canada,7,Monster ft. Justin Bieber (Shawn Mendes),,,,
Switzerland,4,Mood ft. iann dior (24kGoldn),,,,
Chile,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Colombia,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Costa Rica,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Cyprus,8,Therefore I Am (Billie Eilish),,,,
Czech Republic,9,Designer Flow (Yzomandias),,,,
Germany,10,gebe auf. (Lune),,,,
Denmark,7,Monster ft. Justin Bieber (Shawn Mendes),,,,
Dominican Republic,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Ecuador,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Estonia,11,"Universum (Neblu, Mikael Gabriel)",,,,
Egypt,3,Life Goes On (BTS),,,,
Spain,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Finland,12,Pyyntö - Vain elämää kausi 11 (Jannika B),,,,
France,13,9113 ft. SCH (Zola),,,,
Greece,14,"Street Values (VLOSPA, Light)",,,,
Guatemala,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Hong Kong,3,Life Goes On (BTS),,,,
Honduras,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Hungary,8,Therefore I Am (Billie Eilish),,,,
Indonesia,3,Life Goes On (BTS),,,,
Ireland,1,positions (Ariana Grande),,,,
Israel,15,רסיסים (Raviv Kaner),,,,
India,3,Life Goes On (BTS),,,,
Iceland,16,Rólegur Kúreki (BRÍET),,,,
Italy,17,Baby ft. J Balvin (Sfera Ebbasta),,,,
Japan,18,Dynamite (BTS),,,,
Lituania,8,Therefore I Am (Billie Eilish),,,,
Luxemborg,4,Mood ft. iann dior (24kGoldn),,,,
Latvia,8,Therefore I Am (Billie Eilish),,,,
Morocco,19,Nota (Dizzy DROS),,,,
Mexico,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Malaysia,3,Life Goes On (BTS),,,,
Nicaragua,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Netherlands,4,Mood ft. iann dior (24kGoldn),,,,
Norway,20,Lonely ft. benny blanco (Justin Bieber),,,,
New Zealand,1,positions (Ariana Grande),,,,
Panama,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Peru,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Philippines,3,Life Goes On (BTS),,,,
Poland,21,"FALA (Guzior, Oskar83)",,,,
Portugal,22,São Paulo (Yuri NR5),,,,
Paraguay,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Romania,8,Therefore I Am (Billie Eilish),,,,
Russian Federation,3,Life Goes On (BTS),,,,
Saudi Arabia,3,Life Goes On (BTS),,,,
Sweden,23,"Ge upp igen (Miriam Bryant, Yasin)",,,,
Singapore,3,Life Goes On (BTS),,,,
Slovakia,24,The Business (Tiësto),,,,
El Salvador,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Thailand,3,Life Goes On (BTS),,,,
Turkey,25,Allah’indan Bul (Ezel),,,,
Taiwan,3,Life Goes On (BTS),,,,
Ukriane,26,Снова я напиваюсь (SLAVA MARLOW),,,,
Uruguay,2,"DÁKITI (Bad Bunny, Jhay Cortez)",,,,
Vietnam,3,Life Goes On (BTS),,,,
South Africa,27,"Lemonade ft. Gunna, Don Toliver, & NAV (Internet Money)",,,,
